Filename,invalid_tax_id,invalid_total,invalid_date,invalid_time
Thank you Cup_3 - Kitti B..jpg,0,0,0,0
Fatt Chicken Rice_Potch_03.jpg,0,0,0,0
Oh Juice_1 - Kitti B..jpg,0,0,0,0
OneToTwo - Victor Lee.jpg,0,0,0,0
Starbucks_Coffee_7_Paisarn.jpg,0,0,0,0
WhiteStrory_Thidarat Piajan_19.jpg,0,0,0,0
Rise Coffee_T-Off_01.jpg,0,0,0,0
Fatt Chicken Rice_Potch_02.jpg,0,0,0,0
BHC Chicken_Saknoppon.jpg,0,0,0,0
TONCHIN_T-Off_02.jpg,0,0,0,0
BigC2 - Thanaphat.jpeg,0,0,0,0
KingPower_2_Kanchaya.png,0,0,0,0
Nitori_Thidarat Piajan_14.jpg,0,0,0,0
FarmThai - Victor Lee.jpg,0,0,0,0
HomeBake - Kitti B..jpg,0,0,0,0
Rise Coffee_T-Off_03.jpg,0,0,0,0
DQ_Potch_04.jpg,0,0,0,0
17392556877285636938820239881652 - Victor Lee.jpg,0,0,0,0
Starbucks Coffee_1 - Ladda M..jpg,0,0,0,0
FoodStreet_Thidarat Piajan_20.jpg,0,0,0,0
DQ_Potch_05.jpg,0,0,0,0
FoodStreet2 - Victor Lee.jpg,0,0,0,0
Naixue - Kitti B..jpg,0,0,0,0
Rise Coffee_T-Off_02.jpg,0,0,0,0
Fatt Chicken Rice_Potch_01.jpg,0,0,0,0
17388290984957689282649041447964 - Victor Lee.jpg,0,0,0,0
Sol1_ Viravan.jpg,0,0,0,0
TONCHIN_T-Off_01.jpg,0,0,0,0
KAMU_Potch_04.jpg,0,0,0,0
SoL Coffee_T-Off_01.jpg,0,0,0,0
Fatt Chicken Rice_Potch_05.jpg,0,0,0,0
Veggie Cafe_T-Off_09.jpg,0,0,0,0
DQ_Potch_01.jpg,0,0,0,0
17391657755742514674626984958435 - Victor Lee.jpg,0,0,0,0
BigC_Market_1_Paisarn.jpg,0,0,0,0
mama - Victor Lee.jpg,0,0,0,0
1739165892913360950025615499298 - Victor Lee.jpg,0,0,0,0
X-17368331232185181516400817624213 - Victor Lee.jpg,0,0,0,0
Momo_T-Off_01.jpg,0,0,0,0
Veggie Cafe_T-Off_08.jpg,0,0,0,0
WhiteStory_Thidarat Piajan_17.jpg,0,0,0,0
Fatt Chicken Rice_Potch_04.jpg,0,0,0,0
KAMU_Potch_01.jpg,0,0,0,0
Starbucks_Coffee_2_Paisarn.jpg,1,0,0,0
KAMU_Potch_03.jpg,0,0,0,0
FAM TIME - Kitti B..jpg,0,0,0,0
DQ_Potch_02.jpg,0,0,0,0
BKKBagels - Victor Lee.jpg,0,0,0,0
Thank you Cup_2 - Kitti B..jpg,0,0,0,0
DQ_Potch_03.jpg,0,0,0,0
Cafe Kaldi - Kitti B..jpg,0,0,0,0
Warabimochi - Kiti B..jpg,0,0,0,0
Rise Coffee_T-Off_04.jpg,0,0,0,0
Momo_T-Off_02.jpg,0,0,0,0
BigC Market_6 - Kitti B..jpeg,0,0,0,0
KAMU_Potch_02.jpg,0,0,0,0
Yoguruto_T-Off_12.jpg,0,0,0,0
Yoguruto_T-Off_06.jpg,0,0,0,0
Pacamara_T-Off_01.jpg,0,0,0,0
ชาตรามือ_T-Off_19.jpg,0,0,0,0
Mitsukoshi2-Viravan V..jpg,0,0,0,0
ชาตรามือ_T-Off_31.jpg,0,0,0,0
