Source JSON File,Tax ID,confidence,Receipt Number,confidence,Date,confidence,Time,confidence,Total Amount,confidence,Store name,confidence,Order item,confidence,Item Price,confidence,QTY,confidence,Branch ID
17386590297053997295044438274399 - Victor Lee.json,0105560101035,0.998,10344001022500156,0.998,2025-02-04,0.997,14:04:32,0.998,,0.898,"Brewing Happiness Co.,Ltd.",0.933,Iced Americano - Floral,0.937,55,0.162,1,0.19,
17386590966462230082736051626241 - Victor Lee.json,0105558102623,0.978,001-3 [006240],0.178,2025-04-02,0.985,12:16:00,0.988,494.34,0.177,Tonkatsu Wako One Bangkok,0.979,13:SUIREN,0.447,420,0.17,1,0.291,
17387186556135444632046881269223 - Victor Lee.json,0107536000633,0.995,,0.575,2025-03-02,0.925,,0.785,535,0.441,BIGC MARKET THE ONE BANGKOK,0.88,แคนตาลูปซันเลดี้,0.125,35,0.055,1,0.155,
17387186556135444632046881269223 - Victor Lee.json,0107536000633,0.995,,0.575,2025-03-02,0.925,,0.785,535,0.441,BIGC MARKET THE ONE BANGKOK,0.88,ชยาน้ำมะเขือเทศ,0.156,72,0.151,1,0.178,
17387186556135444632046881269223 - Victor Lee.json,0107536000633,0.995,,0.575,2025-03-02,0.925,,0.785,535,0.441,BIGC MARKET THE ONE BANGKOK,0.88,มาม่าคัพสไปซี่P3,0.146,45,0.161,1,0.286,
17387186556135444632046881269223 - Victor Lee.json,0107536000633,0.995,,0.575,2025-03-02,0.925,,0.785,535,0.441,BIGC MARKET THE ONE BANGKOK,0.88,เมจิฮันนี110X4,0.125,85,0.16,1,0.162,
17387186556135444632046881269223 - Victor Lee.json,0107536000633,0.995,,0.575,2025-03-02,0.925,,0.785,535,0.441,BIGC MARKET THE ONE BANGKOK,0.88,เมจินมปรุงแต่งรส,0.254,29,0.16,1,0.197,
17387186556135444632046881269223 - Victor Lee.json,0107536000633,0.995,,0.575,2025-03-02,0.925,,0.785,535,0.441,BIGC MARKET THE ONE BANGKOK,0.88,มันฝรั่งพริงเกิล,0.209,28,0.127,1,0.206,
17387186556135444632046881269223 - Victor Lee.json,0107536000633,0.995,,0.575,2025-03-02,0.925,,0.785,535,0.441,BIGC MARKET THE ONE BANGKOK,0.88,ทาบิข้าวอบกรอบ52,0.286,30,0.051,1,0.182,
17387186556135444632046881269223 - Victor Lee.json,0107536000633,0.995,,0.575,2025-03-02,0.925,,0.785,535,0.441,BIGC MARKET THE ONE BANGKOK,0.88,ทาบิข้าวอบกรอบ52,0.175,30,0.123,1,0.208,
17387186556135444632046881269223 - Victor Lee.json,0107536000633,0.995,,0.575,2025-03-02,0.925,,0.785,535,0.441,BIGC MARKET THE ONE BANGKOK,0.88,วาสลีนไนท์300มล,0.308,169,0.124,1,0.178,
17387186556135444632046881269223 - Victor Lee.json,0107536000633,0.995,,0.575,2025-03-02,0.925,,0.785,535,0.441,BIGC MARKET THE ONE BANGKOK,0.88,HPPเกลือป่นไอโอ,0.311,12,0.107,1,0.178,
17387375666977370569976893425821 - Victor Lee.json,0105561154302,0.997,00700001900,0.821,1968-02-05,0.978,13:38:18,0.818,130,0.359,F.I.X. ONE BANGKOK,0.93,Iced Latte M,0.959,130,0.208,1,0.978,
1738828911937654016708644032092 - Victor Lee.json,0105561110950,0.997,#250206024,0.839,2025-02-06,0.968,14:58:00,0.979,317,0.879,Pradaday,0.619,บั๊ดดี้ เดลี่,0.501,269,0.823,1,0.725,
17388290984957689282649041447964 - Victor Lee.json,0105551096261,0.998,RCOBK1022568/000552,0.986,2025-02-06,0.978,15:04:00,0.996,110,0.58,DEAN & DELUCA,0.319,T H CAPPUCCINO,0.745,110,0.171,0.1,0.178,
1738902074708779141148581966324 - Victor Lee.json,0105567129741,0.996,INV/00002073,0.932,2025-02-07,0.99,11:19:00,0.994,388.41,0.5,บริษัท คาเนโกะ ฮันโนะสึเกะ,0.502,เซ็ตข้าวหน้ากุ้งเทมปุระมินิ พร้อมอุด้งร้อน,0.31,330,0.163,1,0.125,
17391657755742514674626984958435 - Victor Lee.json,,0.918,Q17,0.165,2025-02-10,0.978,12:36:00,0.996,85,0.557,CHONGDEE TEAHOUSE,0.818,เหลียงฉาเหลี่ยงจุ้ย,0.163,85,0.184,1,0.502,
1739165892913360950025615499298 - Victor Lee.json,0105566151981,0.998,F6JHWCQ4P1/00003883,0.922,2025-02-10,0.98,12:32:00,0.997,682.66,0.305,บริษัท ยนไดเมะ คิคุคาวะ,0.162,Lunch Set Half Eel Sushi Roll &amp; Tempura Udon,0.566,580,0.176,1,0.826,
1739165892913360950025615499298 - Victor Lee.json,0105566151981,0.998,F6JHWCQ4P1/00003883,0.922,2025-02-10,0.98,12:32:00,0.997,682.66,0.305,บริษัท ยนไดเมะ คิคุคาวะ,0.162,Ice Cream-Yuzu,0.632,120,0.209,1,0.87,
17391880158988094030991543271715 - Victor Lee.json,0105565082764(VAT,0.936,0100003156,0.518,2025-02-10,0.753,18:44:00,0.976,475,0.401,Shake Shack,0.503,1 Shack,0.167,230,0.17,,0.051,
17391880158988094030991543271715 - Victor Lee.json,0105565082764(VAT,0.936,0100003156,0.518,2025-02-10,0.753,18:44:00,0.976,475,0.401,Shake Shack,0.503,1 Chz Fries,0.624,155,0.313,,0.051,
